0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4117,5036,838,638,1453,6179,954,18,927,2272,31,1826,426,79,367,316,31,102,1244,pure,story
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,38,1957,47,1957,192,548,898,680,1095,554,341,316,1057,54,2520,fantasy,story
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,1245,227,85,4118,94,1144,2,19,169,1454,221,203,14,54,22,3518,8,68,5037,653,drama,omnibus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1246,204,342,1058,955,102,395,1596,863,257,44,253,6180,1191,3089,129,sports,story
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,355,283,654,98,5038,88,143,17,3519,1247,427,118,3520,5039,1827,5040,33,2273,162,5041,2094,1,18,495,2274,261,fantasy,story
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,2095,72,207,154,380,46,5042,3521,864,3521,3521,327,32,comic,story
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6181,3522,985,1145,6182,496,569,55,1828,235,570,32,comic,story
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6181,3522,985,1145,6182,3,99,3090,111,570,comic,episode
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,756,175,927,59,12,171,5043,88,549,1958,426,14,1959,148,149,737,738,14,108,43,29,108,58,29,1192,289,108,pure,story
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,199,1193,132,108,655,179,143,1194,103,108,538,1096,9,drama,episode
